iter	Passed	Remaining
634	64227	138063
635	64296	137893
636	64355	137703
637	64448	137584
638	64520	137421
639	64571	137214
640	64624	137011
641	64723	136908
642	64782	136717
643	64812	136467
644	64908	136358
645	64994	136227
646	65101	136138
647	65205	136045
648	65293	135918
649	65371	135772
650	65445	135616
651	65480	135380
652	65563	135244
653	65650	135115
654	65727	134967
655	65805	134820
656	65898	134705
657	65977	134562
658	66011	134327
659	66086	134175
660	66173	134049
661	66261	133924
662	66351	133802
663	66401	133603
664	66476	133452
665	66552	133304
666	66624	133148
667	66659	132919
668	66731	132765
669	66834	132672
670	66934	132571
671	67055	132514
672	67092	132291
673	67191	132189
674	67268	132044
675	67322	131855
676	67349	131615
677	67448	131514
678	67499	131321
679	67593	131210
680	67686	131099
681	67751	130933
682	67813	130762
683	67921	130679
684	68024	130587
685	68102	130447
686	68153	130255
687	68232	130117
688	68341	130037
689	68413	129886
690	68513	129789
691	68589	129645
692	68616	129411
693	68691	129266
694	68783	129154
695	68876	129045
696	68979	128953
697	69024	128753
698	69062	128542
699	69168	128455
700	69214	128259
701	69245	128035
702	69356	127959
703	69446	127844
704	69534	127727
705	69633	127627
706	69715	127499
707	69803	127381
708	69858	127203
709	69952	127096
710	70047	126991
711	70129	126862
712	70175	126669
713	70266	126558
714	70373	126475
715	70417	126278
716	70500	126153
717	70588	126037
718	70624	125826
719	70704	125697
720	70789	125575
721	70883	125469
722	70955	125324
723	71056	125231
724	71095	125030
725	71167	124886
726	71259	124777
727	71330	124631
728	71439	124554
729	71534	124451
730	71591	124280
731	71656	124125
732	71765	124048
733	71865	123952
734	71993	123907
735	72111	123843
736	72204	123737
737	72342	123707
738	72443	123614
739	72596	123610
740	72742	123592
741	72863	123534
742	72965	123441
743	73064	123346
744	73179	123275
745	73323	123254
746	73427	123164
747	73528	123071
748	73666	123039
749	73789	122981
750	73934	122960
751	74035	122867
752	74152	122800
753	74338	122845
754	74444	122759
755	74551	122674
756	74613	122515
757	74697	122393
758	74779	122268
759	74854	122130
760	74967	122055
761	75017	121879
762	75128	121800
763	75215	121683
764	75318	121592
765	75391	121452
766	75487	121350
767	75580	121243
768	75659	121114
769	75704	120929
770	75796	120822
771	75833	120626
772	75904	120485
773	75941	120289
774	75969	120081
775	76008	119889
776	76106	119791
777	76211	119704
778	76251	119516
779	76324	119378
780	76410	119262
781	76494	119143
782	76598	119055
783	76679	118931
784	76718	118742
785	76752	118545
786	76795	118364
787	76889	118260
788	77010	118200
789	77104	118096
790	77187	117976
791	77324	117938
792	77361	117749
793	77392	117551
794	77499	117467
795	77666	117475
796	77720	117312
797	77831	117235
798	77915	117117
799	78058	117087
800	78182	117030
801	78216	116837
802	78303	116724
803	78399	116623
804	78434	116433
805	78480	116260
806	78579	116165
807	78669	116056
808	78750	115935
809	78833	115817
810	78877	115641
811	78971	115540
812	79073	115449
813	79148	115319
814	79246	115224
815	79353	115139
816	79471	115072
817	79566	114973
818	79667	114881
819	79756	114771
820	79837	114650
821	79949	114574
822	80071	114513
823	80179	114431
824	80310	114381
825	80451	114346
826	80565	114273
827	80706	114236
828	80865	114226
829	80977	114148
830	81134	114134
831	81301	114135
832	81428	114078
833	81534	113992
834	81596	113843
835	81724	113789
836	81841	113717
837	81990	113690
838	82117	113633
839	82217	113538
840	82299	113418
841	82406	113333
842	82509	113242
843	82627	113171
844	82772	113138
845	82876	113048
846	83011	113000
847	83140	112945
848	83251	112864
849	83355	112775
850	83481	112714
851	83558	112587
852	83664	112500
853	83807	112463
854	83856	112299
855	83977	112231
856	84086	112148
857	84125	111971
858	84168	111799
859	84260	111694
860	84327	111555
861	84411	111439
862	84535	111375
863	84626	111268
864	84770	111231
865	84892	111163
866	84978	111050
867	85072	110947
868	85154	110827
869	85243	110718
870	85299	110565
871	85362	110423
872	85460	110325
873	85542	110206
874	85644	110113
875	85731	110002
876	85814	109885
877	85906	109780
878	85996	109673
879	86099	109580
